title,type,text
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"was yearning to see him, and prayed for the pleasure of a visit."
THOUSAND NIGHTS AND A NIGHT ,Fantasy,He then delivered the letter which Shah Zaman took from his hand
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and read: it contained sundry hints and allusions which required
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"thought; but, when the King had fully comprehended its import, he"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"said, I hear and I obey the commands of the beloved brother!"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"adding to the Wazir, But we will not march till after the third"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,day's hospitality. He appointed for the Minister fitting
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"quarters of the palace; and, pitching tents for the troops,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,rationed them with whatever they might require of meat and drink
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and other necessaries. On the fourth day he made ready for
THOUSAND NIGHTS AND A NIGHT ,Fantasy,wayfare and got together sumptuous presents befitting his elder
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"brother's majesty, and stablished his chief Wazir viceroy of the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,land during his absence. Then he caused his tents and camels and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"mules to be brought forth and encamped, with their bales and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"loads, attend ants and guards, within sight of the city, in"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,readiness to set out next morning for his brother's capital. But
THOUSAND NIGHTS AND A NIGHT ,Fantasy,when the night was half spent he bethought him that he had
THOUSAND NIGHTS AND A NIGHT ,Fantasy,forgotten in his palace somewhat which he should have brought
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"with him, so he re turned privily and entered his apartments,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"where he found the Queen, his wife, asleep on his own carpet"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"bed, embracing with both arms a black cook of loathsome aspect"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and foul with kitchen grease and grime. When he saw this the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"world waxed black before his sight and he said, If such case"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,happen while I am yet within sight of the city what will be the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,doings of this damned whore during my long absence at my
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"brother's court? So he drew his scymitar and, cutting the two in"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"four pieces with a single blow, left them on the carpet and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,returned presently to his camp without letting anyone know of
THOUSAND NIGHTS AND A NIGHT ,Fantasy,what had happened. Then he gave orders for immediate departure
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and set out at once and began his travel; but he could not help
THOUSAND NIGHTS AND A NIGHT ,Fantasy,thinking over his wife's treason and he kept ever saying to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"himself, How could she do this deed by me? How could she work"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"her own death?, till excessive grief seized him, his colour"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"changed to yellow, his body waxed weak and he was threatened"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"with a dangerous malady, such an one as bringeth men to die. So"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,the Wazir shortened his stages and tarried long at the watering
THOUSAND NIGHTS AND A NIGHT ,Fantasy,stations and did his best to solace the King. Now when Shah Zaman
THOUSAND NIGHTS AND A NIGHT ,Fantasy,drew near the capital of his brother he despatched vaunt
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"couriers and messengers of glad tidings to announce his arrival,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and Shahryar came forth to meet him with his Wazirs and Emirs
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and Lords and Grandees of his realm; and saluted him and joyed
THOUSAND NIGHTS AND A NIGHT ,Fantasy,with exceeding joy and caused the city to be decorated in his
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"honour. When, however, the brothers met, the elder could not but"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,see the change of complexion in the younger and questioned him
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"of his case whereto he replied, Tis caused by the travails of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"wayfare and my case needs care, for I have suffered from the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,change of water and air! but Allah be praised for reuniting me
THOUSAND NIGHTS AND A NIGHT ,Fantasy,with a brother so dear and so rare! On this wise he dissembled
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"and kept his secret, adding, O King of the time and Caliph of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"the tide, only toil and moil have tinged my face yellow with"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,bile and hath made my eyes sink deep in my head. Then the two
THOUSAND NIGHTS AND A NIGHT ,Fantasy,entered the capital in all honour; and the elder brother lodged
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"the younger in a palace overhanging the pleasure garden; and,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"after a time, seeing his condition still unchanged, he attributed"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,it to his separation from his country and kingdom. So he let him
THOUSAND NIGHTS AND A NIGHT ,Fantasy,wend his own ways and asked no questions of him till one day when
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"he again said, O my brother, I see thou art grown weaker of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"body and yellower of colour. O my brother, replied Shah Zaman"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,I have an internal wound:[FN#6] still he would not tell him
THOUSAND NIGHTS AND A NIGHT ,Fantasy,what he had witnessed in his wife. Thereupon Shahryar summoned
THOUSAND NIGHTS AND A NIGHT ,Fantasy,doctors and surgeons and bade them treat his brother according
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"to the rules of art, which they did for a whole month; but their"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"sherbets and potions naught availed, for he would dwell upon the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"deed of his wife, and despondency, instead of diminishing,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"prevailed, and leach craft treatment utterly failed. One day his"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"elder brother said to him, I am going forth to hunt and course"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and to take my pleasure and pastime; maybe this would lighten thy
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"heart. Shah Zaman, however, refused, saying, O my brother, my"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,soul yearneth for naught of this sort and I entreat thy favour to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"suffer me tarry quietly in this place, being wholly taken up"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,with my malady. So King Shah Zaman passed his night in the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"palace and, next morning, when his brother had fared forth, he"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,removed from his room and sat him down at one of the lattice
THOUSAND NIGHTS AND A NIGHT ,Fantasy,windows overlooking the pleasure grounds; and there he abode
THOUSAND NIGHTS AND A NIGHT ,Fantasy,thinking with saddest thought over his wife's betrayal and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,burning sighs issued from his tortured breast. And as he
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"continued in this case lo! a pastern of the palace, which was"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"carefully kept private, swung open and out of it came twenty"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"slave girls surrounding his bother's wife who was wondrous fair,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,a model of beauty and comeliness and symmetry and perfect
THOUSAND NIGHTS AND A NIGHT ,Fantasy,loveliness and who paced with the grace of a gazelle which
THOUSAND NIGHTS AND A NIGHT ,Fantasy,panteth for the cooling stream. Thereupon Shah Zaman drew back
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"from the window, but he kept the bevy in sight espying them from"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,a place whence he could not be espied. They walked under the very
THOUSAND NIGHTS AND A NIGHT ,Fantasy,lattice and advanced a little way into the garden till they came
THOUSAND NIGHTS AND A NIGHT ,Fantasy,to a jetting fountain amiddlemost a great basin of water; then
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"they stripped off their clothes and behold, ten of them were"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"women, concubines of the King, and the other ten were white"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"slaves. Then they all paired off, each with each: but the Queen,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"who was left alone, presently cried out in a loud voice, Here to"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"me, O my lord Saeed! and then sprang with a drop leap from one"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,of the trees a big slobbering blackamoor with rolling eyes which
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"showed the whites, a truly hideous sight.[FN#7] He walked boldly"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,up to her and threw his arms round her neck while she embraced
THOUSAND NIGHTS AND A NIGHT ,Fantasy,him as warmly; then he bussed her and winding his legs round
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"hers, as a button loop clasps a button, he threw her and enjoyed"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,her. On like wise did the other slaves with the girls till all
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"had satisfied their passions, and they ceased not from kissing"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"and clipping, coupling and carousing till day began to wane; when"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,the Mamelukes rose from the damsels' bosoms and the blackamoor
THOUSAND NIGHTS AND A NIGHT ,Fantasy,slave dismounted from the Queen's breast; the men resumed their
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"disguises and all, except the negro who swarmed up the tree,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"entered the palace and closed the postern door as before. Now,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,when Shah Zaman saw this conduct of his sister in law he said in
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"himself, By Allah, my calamity is lighter than this! My brother"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"is a greater King among the kings than I am, yet this infamy"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"goeth on in his very palace, and his wife is in love with that"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,filthiest of filthy slaves. But this only showeth that they all
THOUSAND NIGHTS AND A NIGHT ,Fantasy,do it[FN#8] and that there is no woman but who cuckoldeth her
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"husband, then the curse of Allah upon one and all and upon the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,fools who lean against them for support or who place the reins of
THOUSAND NIGHTS AND A NIGHT ,Fantasy,conduct in their hands. So he put away his melancholy and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"despondency, regret and repine, and allayed his sorrow by"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"constantly repeating those words, adding,  'Tis my conviction"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,that no man in this world is safe from their malice! When supper
THOUSAND NIGHTS AND A NIGHT ,Fantasy,time came they brought him the trays and he ate with voracious
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"appetite, for he had long refrained from meat, feeling unable to"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,touch any dish however dainty. Then he returned grateful thanks
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"to Almighty Allah, praising Him and blessing Him, and he spent a"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"most restful night, it having been long since he had savoured the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,sweet food of sleep. Next day he broke his fast heartily and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"began to recover health and strength, and presently regained"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,excellent condition. His brother came back from the chase ten
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"days after, when he rode out to meet him and they saluted each"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,other; and when King Shahryar looked at King Shah Zaman he saw
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"how the hue of health had returned to him, how his face had waxed"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,ruddy and how he ate with an appetite after his late scanty diet.
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"He wondered much and said, O my brother, I was so anxious that"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"thou wouldst join me in hunting and chasing, and wouldst take thy"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,pleasure and pastime in my dominion! He thanked him and excused
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"himself; then the two took horse and rode into the city and, when"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"they were seated at their ease in the palace, the food trays were"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,set before them and they ate their sufficiency. After the meats
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"were removed and they had washed their hands, King Shahryar"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"turned to his brother and said, My mind is overcome with"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,wonderment at thy condition. I was desirous to carry thee with me
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"to the chase but I saw thee changed in hue, pale and wan to view,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and in sore trouble of mind too. But now Alham-dolillah--glory be
THOUSAND NIGHTS AND A NIGHT ,Fantasy,to God!--I see thy natural colour hath returned to thy face and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,that thou art again in the best of case. It was my belief that
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"thy sickness came of severance from thy family and friends, and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"absence from capital and country, so I refrained from troubling"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,thee with further questions. But now I beseech thee to expound to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"me the cause of thy complaint and thy change of colour, and to"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,explain the reason of thy recovery and the return to the ruddy
THOUSAND NIGHTS AND A NIGHT ,Fantasy,hue of health which I am wont to view. So speak out and hide
THOUSAND NIGHTS AND A NIGHT ,Fantasy,naught! When Shah Zaman heard this he bowed groundwards awhile
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"his head, then raised it and said, I will tell thee what caused"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,my complaint and my loss of colour; but excuse my acquainting
THOUSAND NIGHTS AND A NIGHT ,Fantasy,thee with the cause of its return to me and the reason of my
THOUSAND NIGHTS AND A NIGHT ,Fantasy,complete recovery: indeed I pray thee not to press me for a
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"reply. Said Shahryar, who was much surprised by these words,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Let me hear first what produced thy pallor and thy poor
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"condition. Know, then, O my brother, rejoined Shah Zaman,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,that when thou sentest thy Wazir with the invitation to place
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"myself between thy hands, I made ready and marched out of my"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,city; but presently I minded me having left behind me in the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,palace a string of jewels intended as a gift to thee. I returned
THOUSAND NIGHTS AND A NIGHT ,Fantasy,for it alone and found my wife on my carpet bed and in the arms
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"of a hideous black cook. So I slew the twain and came to thee,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,yet my thoughts brooded over this business and I lost my bloom
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and became weak. But excuse me if I still refuse to tell thee
THOUSAND NIGHTS AND A NIGHT ,Fantasy,what was the reason of my complexion returning. Shahryar shook
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"his head, marvelling with extreme marvel, and with the fire of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"wrath flaming up from his heart, he cried, Indeed, the malice of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,woman is mighty! Then he took refuge from them with Allah and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"said, In very sooth, O my brother, thou hast escaped many an"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"evil by putting thy wife to death,[FN#9] and right excusable were"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,thy wrath and grief for such mishap which never yet befel crowned
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"King like thee. By Allah, had the case been mine, I would not"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,have been satisfied without slaying a thousand women and that way
THOUSAND NIGHTS AND A NIGHT ,Fantasy,madness lies! But now praise be to Allah who hath tempered to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"thee thy tribulation, and needs must thou acquaint me with that"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"which so suddenly restored to thee complexion and health, and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"explain to me what causeth this concealment. O King of the Age,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"again I pray thee excuse my so doing! Nay, but thou must. I"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"fear, O my brother, lest the recital cause thee more anger and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"sorrow than afflicted me. That were but a better reason, quoth"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Shahryar, for telling me the whole history, and I conjure thee"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,by Allah not to keep back aught from me. Thereupon Shah Zaman
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"told him all he had seen, from commencement to con elusion,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"ending with these words, When I beheld thy calamity and the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"treason of thy wife, O my brother, and I resected that thou art"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"in years my senior and in sovereignty my superior, mine own"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"sorrow was belittled by the comparison, and my mind recovered"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"tone and temper: so throwing off melancholy and despondency, I"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"was able to eat and drink and sleep, and thus I speedily regained"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,health and strength. Such is the truth and the whole truth. When
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"King Shahryar heard this he waxed wroth with exceeding wrath, and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,rage was like to strangle him; but presently he recovered himself
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"and said, O my brother, I would not give thee the lie in this"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"matter, but I cannot credit it till I see it with mine own eyes."
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"An thou wouldst look upon thy calamity, quoth Shah Zaman, rise"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,at once and make ready again for hunting and coursing.[FN#10] and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"then hide thyself with me, so shalt thou witness it and thine"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"eyes shall verify it. True, quoth the King; whereupon he let"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"make proclamation of his in tent to travel, and the troops and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"tents fared forth without the city, camping within sight, and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Shahryar sallied out with them and took seat amidmost his host,"
